Artist,Genre,Energy,Main_Instrument,Artist_Type,Signature_Look
Pixies,Alternative Rock,0.82,Guitar,Group,Casual "anti-rockstar" t-shirts
David Byrne,Art Rock,0.65,Vocals / Guitar,Solo,Iconic oversized grey suits
Halsey,Alternative Pop,0.70,Vocals,Solo,Constant hair color changes and wigs
Faithless,Electronic / Dance,0.88,Synth / DJ,Group,Dark sunglasses and nightlife vibes
The Black Crowes,Blues Rock,0.78,Guitar,Group,70s boho style and neck scarves
The Hives,Garage Rock,0.90,Guitar,Group,Sharp black and white suits
Rigoberta Bandini,Indie Pop,0.68,Vocals,Solo,Vintage sunglasses and family vibes
Garbage,Alternative Rock,0.75,Vocals,Group,Vibrant red or black outfits
Two Door Cinema Club,Indie Rock,0.80,Guitar,Group,Clean preppy shirts and polos
Suede,Britpop,0.72,Vocals / Guitar,Group,Unbuttoned shirts and leather jackets
Jon Batiste,Jazz / Soul,0.60,Piano,Solo,Colorful high-fashion suits
Bomba Estéreo,Electro Cumbia,0.85,Vocals,Group,Psychdelic patterns and tribal masks
Jovanotti,Pop / World Music,0.77,Vocals,Solo,Eccentric hats and shiny jackets
Reneé Rapp,Pop,0.66,Vocals,Solo,Oversized baggy urban streetwear
Ezra Collective,Jazz / Afrobeat,0.74,Drums,Group,Vintage football or sports jerseys
Polo & Pan,Electronic,0.62,Synth,Group,Tropical prints and summer shirts
Sen Senra,Indie Pop / Urban,0.64,Vocals,Solo,Minimalist luxury street style
Meute,Techno Brass Band,0.86,Drums / Brass,Group,Red marching band jackets
Alizzz,Electronic / Pop,0.71,Synth / Prod,Solo,Baseball caps and urban producer look
Zahara,Indie Pop,0.58,Vocals / Guitar,Solo,Rave glitters and neon makeup
La Ludwig Band,Indie Rock,0.67,Guitar,Group,Rustic plaid shirts and local vibes
Els Pets,Rock Català,0.69,Guitar,Group,Casual jeans and simple shirts
Sigrid,Pop,0.72,Vocals,Solo,Basic white t-shirt and blue jeans
Mishima,Indie Rock,0.63,Vocals / Guitar,Group,Sober elegance and dark blazers
Chico Blanco,Electronic / Urban,0.79,DJ / Prod,Solo,90s clubber tracksuits and beanies
Yami Safdie,Pop,0.55,Vocals,Solo,Coquette aesthetic and many accessories
Sampa the Great,Hip Hop / Soul,0.73,Vocals,Solo,Modern African traditional fabrics
Sadie Jean,Pop,0.52,Vocals,Solo,Soft sweaters and cozy songwriter look
Son Rompe Pera,Marimba Punk,0.83,Marimba,Group,Punk-tropical tattoos and style
Judeline,Pop / Urban,0.61,Vocals,Solo,Headscarves and modern folklore
Sidonie,Indie Rock,0.74,Guitar,Group,60s psychedelic boots and fashion
Midnight Generation,Funk / Disco,0.81,Synth,Group,Aviator sunglasses and retro-funk
Parquesvr,Post-Punk,0.76,Guitar,Group,Rock band tees and social messages
Chiquita Movida,Indie Pop,0.60,Vocals,Group,Pastel colors and DIY handmade style
Ultraligera,Indie Rock,0.68,Guitar,Group,Black leather and classic rock style
The Cardigans,Alternative Pop / Indie Pop,0.65,Vocals,Group,90s minimalist chic and soft colors
Dorian,Indie Electronic,0.73,Synth / Guitar,Group,Retro-futuristic indie aesthetics
Delaporte,Electronic Pop,0.78,Synth / Vocals,Group,Neon lights and avant-garde styling
Ginebras,Indie Pop / Rock,0.75,Guitar,Group,Playful colorful outfits and irony
Stay Homas,Indie Pop / Acoustic,0.62,Guitar / Vocals,Group,Balcony-session casual style
Doctor Prats,Pop / Reggae / Fusion,0.77,Guitar / Vocals,Group,Urban colorful streetwear
Lildami,Urban / Hip Hop,0.74,Vocals / Rap,Solo,Sporty streetwear and caps
Flashy Ice Cream,Urban / Trap,0.80,Vocals / Rap,Group,Flashy Y2K aesthetics
31 FAM,Urban / Trap,0.82,Vocals / Rap,Group,Colorful Gen-Z streetwear
Mushkaa,Urban Pop,0.68,Vocals,Solo,Soft streetwear and modern feminine aesthetic
Figa Flawas,Urban / Pop Rap,0.79,Vocals / Rap,Group,Sport jerseys and party looks
Mama Dousha,Electronic / Pop,0.70,Synth / Vocals,Solo,Theatrical makeup and quirky outfits
Ven'nus,Alternative Pop / Electronic,0.66,Vocals,Solo,Dark ethereal aesthetics
Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar,Group,Playful indie teen aesthetic
Sexenni,Pop Rock / Indie,0.72,Guitar,Group,Youthful casual festival outfits
The Tyets,Urban Pop / Reggaeton,0.81,Vocals,Group,Summer outfits and sunglasses